File,Class,Animation,FreeStart
Animation_Bow.anm,a__BowAnimation,AttackAir,14
Animation_Bow.anm,a__BowAnimation,AttackAirDown,14
Animation_Bow.anm,a__BowAnimation,AttackDown,13
Animation_Bow.anm,a__BowAnimation,AttackAirHeavy,17
Animation_Bow.anm,a__BowAnimation,AttackAirDownHeavyHitGround,11
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf1,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf2,46
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3Hit,18
Animation_Bow.anm,a__BowAnimation,AttackSpecialSamurai3,39
Animation_Bow.anm,a__BowAnimation,AttackSpecialSamurai4,41
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf2SwapDaryl,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3SwapDaryl,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3HitSwapDaryl,18
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf1SwapDaryl,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf1SwapEpicEmber,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf2SwapEpicEmber,46
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3SwapEpicEmber,45
Animation_Bow.anm,a__BowAnimation,AttackSpecialElf3HitSwapEpicEmber,18
Animation_Bow.anm,a__BowAnimation,DashBack,10
Animation_BP13.anm,a_SmokeTrailEnd_BP13,Ready,41
Animation_Cannon.anm,a__CannonAnimation,AttackGround19,11
Animation_Cannon.anm,a__CannonAnimation,AttackGround20,9
Animation_Cannon.anm,a__CannonAnimation,AttackAir21Ground,10
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle7,49
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle2b,49
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle2bHit,17
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle03,77
Animation_Cannon.anm,a__CannonAnimation,DashBack,9
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle7_SwapDestinyTitan,49
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle2b_SwapDestinyTitan,49
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle2bHit_SwapDestinyTitan,17
Animation_Cannon.anm,a__CannonAnimation,AttackSpecialGargoyle03_SwapDestinyTitan,77
Animation_Chakram.anm,a__ChakramAnimation,DashBackModeSwap,9
Animation_Chakram.anm,a__ChakramAnimation,AttackSide2,20
Animation_Chakram.anm,a__ChakramAnimation,AttackNeutral,15
Animation_Chakram.anm,a__ChakramAnimation,AttackAirDownHeavyGround,11
Animation_Chakram.anm,a__ChakramAnimation,AttackSideModeSwap,18
Animation_Chakram.anm,a__ChakramAnimation,AttackNeutralModeSwap,13
Animation_Chakram.anm,a__ChakramAnimation,AttackAirSideHitModeSwap,17
Animation_Chakram.anm,a__ChakramAnimation,DashBack,9
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric4,52
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric4Wall,10
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric4RecoverModeSwap,2
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric4WallRecoverModeSwap,2
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric2,36
Animation_Chakram.anm,a__ChakramAnimation,AttackSpecialCleric2RecoverModeSwap,4
Animation_Emote.anm,a__EmoteAnimation,TauntGolfClap,37
Animation_Emote.anm,a__EmoteAnimation,TauntGolfClapSwapSpongebob,37
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1,22
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1b,40
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2,23
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2b,40
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2_SwapSFDhalsim,23
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2b_SwapSFDhalsim,40
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1_SwapSFDhalsim,22
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1b_SwapSFDhalsim,40
Animation_Fists.anm,a__FistsAnimation,DashBack,10
Animation_Fists.anm,a__FistsAnimation,DashBackSpongebobFists,10
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2_SwapSpongebob,23
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2b_SwapSpongebob,40
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1_SwapSpongebob,22
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1b_SwapSpongebob,40
Animation_Fists.anm,a__FistsAnimation,DashBackMythicWuShangFists,10
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1_SwapEpicRayman,22
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman1b_SwapEpicRayman,40
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2_SwapEpicRayman,23
Animation_Fists.anm,a__FistsAnimation,AttackSpecialRayman2b_SwapEpicRayman,40
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSS1,16
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackDD1,14
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackCloseSDS2,14
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackCloseSDD1,14
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackCloseSDD3,14
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackCloseS1,14
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackAirAttack01Ground,8
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackAir07Ground2,9
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackAir07Ground3,9
Animation_GreatSword.anm,a__GreatSwordAnimation,StanceForm1,6
Animation_GreatSword.anm,a__GreatSwordAnimation,StanceForm2,6
Animation_GreatSword.anm,a__GreatSwordAnimation,StanceForm2a,7
Animation_GreatSword.anm,a__GreatSwordAnimation,StanceForm3,9
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialSellsword09,44
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialSellsword20Ground,11
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark02MissGround,9
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark03c,43
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark03cGround,11
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialGhostArmor06,43
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialGhostArmor06Hit,20
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialSellsword20GroundSwapNegan,11
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialFairyQueen03a,18
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialFairyQueen01a,30
Animation_GreatSword.anm,a__GreatSwordAnimation,RunStop,7
Animation_GreatSword.anm,a__GreatSwordAnimation,DashBack,12
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark02MissGround_SwapGrievous,9
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark03c_SwapGrievous,43
Animation_GreatSword.anm,a__GreatSwordAnimation,AttackSpecialShark03cGround_SwapGrievous,11
Animation_Hammer.anm,a__HammerAnimation,AttackCombo2,8
Animation_Hammer.anm,a__HammerAnimation,AttackCombo3,20
Animation_Hammer.anm,a__HammerAnimation,AttackDash,16
Animation_Hammer.anm,a__HammerAnimation,AttackDown,8
Animation_Hammer.anm,a__HammerAnimation,AttackAirDownHit,11
Animation_Hammer.anm,a__HammerAnimation,DashBack,10
Animation_Hammer.anm,a__HammerAnimation,DashBackPatrickHammer,10
Animation_Hammer.anm,a__HammerAnimation,AttackAirDownHit_SwapPatrick,11
Animation_Hammer.anm,a__HammerAnimation,AttackCombo2_SwapPatrick,8
Animation_Hammer.anm,a__HammerAnimation,AttackCombo3_SwapPatrick,20
Animation_Hammer.anm,a__HammerAnimation,AttackDash_SwapPatrick,16
Animation_Hammer.anm,a__HammerAnimation,AttackDown_SwapPatrick,8
Animation_Katar.anm,a__KatarAnimation,AttackSpecialElf2,44
Animation_Katar.anm,a__KatarAnimation,AttackSpecialElf3,53
Animation_Katar.anm,a__KatarAnimation,AttackSpecialSuper3,47
Animation_Katar.anm,a__KatarAnimation,AttackSpecialDragon7b,5
Animation_Katar.anm,a__KatarAnimation,AttackSpecialThief1,46
Animation_Katar.anm,a__KatarAnimation,AttackSpecialThief3Hit,20
Animation_Katar.anm,a__KatarAnimation,AttackSpecialShark04Ground,6
Animation_Katar.anm,a__KatarAnimation,AttackSpecialElf2SwapEpicEmber,44
Animation_Katar.anm,a__KatarAnimation,AttackSpecialElf3SwapEpicEmber,53
Animation_Katar.anm,a__KatarAnimation,DashBack,10
Animation_Katar.anm,a__KatarAnimation,DashBackAhsokaKatar,10
Animation_Katar.anm,a__KatarAnimation,AttackSpecialShark04Ground_SwapGrievous,6
Animation_Katar.anm,a__KatarAnimation,DashBackLeviKatar,10
Animation_Katar.anm,a__KatarAnimation,AttackSpecialDragon7b_SwapEpicDragon,5
Animation_Lance.anm,a__RocketLanceAnimation,AttackAirDown4HitGround,7
Animation_Lance.anm,a__RocketLanceAnimation,AttackCombo1,7
Animation_Lance.anm,a__RocketLanceAnimation,AttackCombo2,8
Animation_Lance.anm,a__RocketLanceAnimation,AttackCombo3,16
Animation_Lance.anm,a__RocketLanceAnimation,AttackSide2Hit,5
Animation_Lance.anm,a__RocketLanceAnimation,AttackDown2,22
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialAlien3Launch,17
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialKnight3,39
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialSteampunk2,44
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialDwarf4Hit,20
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialDwarf7,43
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialSpaceKnight4,44
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialActualRobot13,50
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialActualRobot13Ground,51
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialActualRobot16,51
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialSpaceKnight4SwapEpicOrion,44
Animation_Lance.anm,a__RocketLanceAnimation,DashBack,10
Animation_Lance.anm,a__RocketLanceAnimation,DodgeRoll,18
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialSteampunk2_SwapTinyTina,44
Animation_Lance.anm,a__RocketLanceAnimation,AttackSpecialAlien3Launch_SwapDestinyWarlock,17
Animation_Orb.anm,a__OrbAnimation,AttackNeutral,15
Animation_Orb.anm,a__OrbAnimation,AttackSpecialBountyHunter14,43
Animation_Orb.anm,a__OrbAnimation,AttackSpecialBountyHunter14Hit,14
Animation_Orb.anm,a__OrbAnimation,DashBack,10
Animation_Orb.anm,a__OrbAnimation,AttackSpecialBountyHunter14_SwapLilith,43
Animation_Pets_Tanuki.anm,a__CompanionAnimationTanuki1,ReadyTurn,9
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5,12
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5Hit,14
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialReaper2,42
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialReaper3,42
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialBountyHunter07,40
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5_SwapLuke,12
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5Hit_SwapLuke,14
Animation_Pistols.anm,a__PistolAnimation,RunStartStop,1
Animation_Pistols.anm,a__PistolAnimation,DashBack,10
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin2,55
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin2Wall,11
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin3Hit,14
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin3HitWall,14
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialBountyHunter07_SwapLilith,40
Animation_Pistols.anm,a__PistolAnimation,RunStartStopMegamanPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackMegamanPistol,10
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin2_SwapMegaman,55
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin2Wall_SwapMegaman,11
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin3Hit_SwapMegaman,14
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialAssassin3HitWall_SwapMegaman,14
Animation_Pistols.anm,a__PistolAnimation,RunStartStopMandoPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackMandoPistol,10
Animation_Pistols.anm,a__PistolAnimation,RunStartStopHanSoloPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackHanSoloPistol,10
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5_SwapHanSolo,12
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialMobster5Hit_SwapHanSolo,14
Animation_Pistols.anm,a__PistolAnimation,RunStartStopKayVessPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackKayVessPistol,10
Animation_Pistols.anm,a__PistolAnimation,RunStartStopChewbaccaPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackChewbaccaPistol,10
Animation_Pistols.anm,a__PistolAnimation,RunStartStopDestinyHunterPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackDestinyHunterPistol,10
Animation_Pistols.anm,a__PistolAnimation,RunStartStopDestinyWarlockPistol,1
Animation_Pistols.anm,a__PistolAnimation,DashBackDestinyWarlockPistol,10
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialReaper2_SwapMythicNix,42
Animation_Pistols.anm,a__PistolAnimation,AttackSpecialReaper3_SwapMythicNix,42
Animation_Player.anm,a__HoldingItemAnimation,JumpStart,13
Animation_Player.anm,a__HoldingItemAnimation,JumpLand,13
Animation_Player.anm,a__HoldingItemAnimation,DashBack,10
Animation_Player.anm,a__HoldingItemAnimation,JumpStartSpongebobHoldingItem,13
Animation_Player.anm,a__HoldingItemAnimation,JumpLandSpongebobHoldingItem,13
Animation_Player.anm,a__HoldingItemAnimation,DashBackSpongebobHoldingItem,10
Animation_Player.anm,a__HoldingItemAnimation,JumpStartPatrickHoldingItem,13
Animation_Player.anm,a__HoldingItemAnimation,JumpLandPatrickHoldingItem,13
Animation_Player.anm,a__HoldingItemAnimation,DashBackPatrickHoldingItem,10
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialShinobi1,55
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialShinobi2,46
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialShinobi2SwapLeo,46
Animation_Scythe.anm,a__ScytheAnimation,DashBack,10
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialShinobi2_SwapYoshimitsu,46
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialCleric01,31
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialCleric01ChargeVar,42
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialCleric5ChargeVarAlt,38
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialCleric07,23
Animation_Scythe.anm,a__ScytheAnimation,AttackSpecialCleric07ChargeVar,35
Animation_Spear.anm,a__SpearAnimation,AttackSideb,18
Animation_Spear.anm,a__SpearAnimation,AttackSpecialValkyrie2,49
Animation_Spear.anm,a__SpearAnimation,AttackSpecialPunk3,41
Animation_Spear.anm,a__SpearAnimation,AttackSpecialPunk4,44
Animation_Spear.anm,a__SpearAnimation,AttackSpecialCaveman2Hit,13
Animation_Spear.anm,a__SpearAnimation,AttackSpecialCaveman3,50
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch,43
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch2,27
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch3,42
Animation_Spear.anm,a__SpearAnimation,AttackSpecialNinja4,55
Animation_Spear.anm,a__SpearAnimation,AttackSpecialSpaceKnight2,47
Animation_Spear.anm,a__SpearAnimation,AttackSpecialInuit1Ground,47
Animation_Spear.anm,a__SpearAnimation,AttackSpecialInuit2Ground,6
Animation_Spear.anm,a__SpearAnimation,AttackSpecialNinja4SwapDemonQueen,55
Animation_Spear.anm,a__SpearAnimation,RunStop,11
Animation_Spear.anm,a__SpearAnimation,DashBack,9
Animation_Spear.anm,a__SpearAnimation,AttackSpecialNinja4_SwapZuko,55
Animation_Spear.anm,a__SpearAnimation,AttackSidebModeSwap,18
Animation_Spear.anm,a__SpearAnimation,DashBackModeSwap,9
Animation_Spear.anm,a__SpearAnimation,RunStopModeSwap,11
Animation_Spear.anm,a__SpearAnimation,AttackSpecialNinja4_SwapDarthMaul,55
Animation_Spear.anm,a__SpearAnimation,AttackSpecialPunk3_SwapMando,41
Animation_Spear.anm,a__SpearAnimation,AttackSpecialPunk4_SwapMando,44
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch_SwapWitchEpic,43
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch2_SwapWitchEpic,27
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch3_SwapWitchEpic,42
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch_SwapMikasa,43
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch2_SwapMikasa,27
Animation_Spear.anm,a__SpearAnimation,AttackSpecialWitch3_SwapMikasa,42
Animation_Sword.anm,a__1HandRearAnimation,AttackAirDownHeavyHitGround,13
Animation_Sword.anm,a__1HandRearAnimation,AttackSpecialViking1,57
Animation_Sword.anm,a__1HandRearAnimation,AttackSpecialViking2,43
Animation_Sword.anm,a__1HandRearAnimation,AttackSpecialBarbarian2,42
Animation_Sword.anm,a__1HandRearAnimation,AttackSpecialBarbarian2SwapMaggie,42
Animation_Sword.anm,a__1HandRearAnimation,AttackSpecialBarbarian2_SwapSimon,42
Animation_Sword.anm,a__1HandRearAnimation,RunStop,19
Animation_Sword.anm,a__1HandRearAnimation,JumpStart,11
Animation_Sword.anm,a__1HandRearAnimation,JumpLand,11
Animation_Sword.anm,a__1HandRearAnimation,DashToReady,19
Animation_Sword.anm,a__1HandRearAnimation,DashBack,9
Animation_Unarmed.anm,a__KickAnimation,ThrowSwordDown,7
Animation_Unarmed.anm,a__KickAnimation,ThrowSwordSide,8
Animation_Unarmed.anm,a__KickAnimation,AttackAirDown3HitGround,9
Animation_Unarmed.anm,a__KickAnimation,AttackCombo2,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo3,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo4,14
Animation_Unarmed.anm,a__KickAnimation,AttackSideSmash,46
Animation_Unarmed.anm,a__KickAnimation,AttackDownSmash,47
Animation_Unarmed.anm,a__KickAnimation,AttackAirDownHitGround,8
Animation_Unarmed.anm,a__KickAnimation,JumpLand,8
Animation_Unarmed.anm,a__KickAnimation,DashBack,10
Animation_Unarmed.anm,a__KickAnimation,JumpLandSpongebobUnarmed,8
Animation_Unarmed.anm,a__KickAnimation,DashBackSpongebobUnarmed,10
Animation_Unarmed.anm,a__KickAnimation,AttackAirDown3HitGround_SwapSpongebob,9
Animation_Unarmed.anm,a__KickAnimation,AttackAirDownHitGround_SwapSpongebob,8
Animation_Unarmed.anm,a__KickAnimation,AttackCombo2_SwapSpongebob,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo3_SwapSpongebob,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo4_SwapSpongebob,14
Animation_Unarmed.anm,a__KickAnimation,AttackDownSmash_SwapSpongebob,47
Animation_Unarmed.anm,a__KickAnimation,AttackSideSmash_SwapSpongebob,46
Animation_Unarmed.anm,a__KickAnimation,ThrowSwordSide_SwapSpongebob,8
Animation_Unarmed.anm,a__KickAnimation,JumpLandPatrickUnarmed,8
Animation_Unarmed.anm,a__KickAnimation,DashBackPatrickUnarmed,10
Animation_Unarmed.anm,a__KickAnimation,AttackAirDown3HitGround_SwapPatrick,9
Animation_Unarmed.anm,a__KickAnimation,AttackAirDownHitGround_SwapPatrick,8
Animation_Unarmed.anm,a__KickAnimation,AttackCombo2_SwapPatrick,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo3_SwapPatrick,5
Animation_Unarmed.anm,a__KickAnimation,AttackCombo4_SwapPatrick,14
Animation_Unarmed.anm,a__KickAnimation,AttackDownSmash_SwapPatrick,47
Animation_Unarmed.anm,a__KickAnimation,AttackSideSmash_SwapPatrick,46
Animation_Unarmed.anm,a__KickAnimation,ThrowSwordSide_SwapPatrick,8
Animation_Walker.anm,a__WalkerAnimation,AttackSideSmash,46
Animation_Walker.anm,a__WalkerAnimation,JumpLand,8
Animation_Walker.anm,a__WalkerAnimation,DashBack,10
